Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000054,CUST2654,Blinkit,29:29.5,20,Fruits & Vegetables,424,"Not fresh, disappointed.",2,No,Yes
ORD000055,CUST7227,Swiggy Instamart,43:29.5,51,Beverages,167,"Very late delivery, not happy.",2,Yes,Yes
ORD000056,CUST5554,JioMart,08:29.5,25,Fruits & Vegetables,657,Packaging could be better.,3,No,No
ORD000057,CUST8428,JioMart,12:29.5,28,Personal Care,817,Good quality products.,4,No,No
ORD000058,CUST6977,Blinkit,40:29.5,24,Dairy,243,Wrong item delivered.,1,No,Yes
ORD000059,CUST3664,JioMart,49:29.5,27,Dairy,557,"Not fresh, disappointed.",2,No,Yes
ORD000060,CUST7065,JioMart,05:29.5,22,Fruits & Vegetables,555,Packaging could be better.,3,No,No
ORD000061,CUST6820,Swiggy Instamart,35:29.5,9,Fruits & Vegetables,586,Quick and reliable!,5,No,No
ORD000062,CUST4432,Blinkit,52:29.5,26,Beverages,666,Delivery person was rude.,2,No,Yes
ORD000063,CUST5374,Swiggy Instamart,35:29.5,48,Snacks,61,Delivery person was rude.,2,Yes,Yes
ORD000064,CUST2169,Swiggy Instamart,06:29.5,46,Dairy,772,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000065,CUST3803,Swiggy Instamart,41:29.5,19,Personal Care,1595,"Not fresh, disappointed.",2,No,Yes
ORD000066,CUST9751,Swiggy Instamart,11:29.5,14,Personal Care,1956,Wrong item delivered.,1,No,Yes
ORD000067,CUST5010,Swiggy Instamart,58:29.5,9,Dairy,796,Wrong item delivered.,1,No,Yes
ORD000068,CUST3677,Swiggy Instamart,17:29.5,20,Dairy,146,Excellent experience!,5,No,No
ORD000069,CUST8573,Swiggy Instamart,34:29.5,24,Fruits & Vegetables,536,Quick and reliable!,5,No,No
ORD000070,CUST7216,Blinkit,45:29.5,34,Snacks,353,"Very late delivery, not happy.",2,No,Yes
ORD000071,CUST5422,JioMart,48:29.5,25,Dairy,641,"Not fresh, disappointed.",2,No,Yes
ORD000072,CUST4598,Swiggy Instamart,52:29.5,38,Fruits & Vegetables,341,Excellent experience!,5,No,No
ORD000073,CUST6313,Swiggy Instamart,11:29.5,35,Dairy,425,"Fast delivery, great service!",5,No,No
ORD000074,CUST1916,Swiggy Instamart,30:29.5,33,Snacks,284,"Very late delivery, not happy.",2,No,Yes
ORD000075,CUST4752,Swiggy Instamart,46:29.5,28,Beverages,905,Quick and reliable!,5,No,No
ORD000076,CUST1525,Swiggy Instamart,21:29.5,39,Grocery,1221,Very satisfied with the service.,5,No,No
ORD000077,CUST6168,Swiggy Instamart,11:29.5,36,Beverages,159,Items missing from order.,2,No,Yes
ORD000078,CUST7572,JioMart,28:29.5,15,Fruits & Vegetables,122,Delivery person was rude.,2,No,Yes
ORD000079,CUST5386,JioMart,35:29.5,35,Beverages,276,Excellent experience!,5,No,No
ORD000080,CUST2084,Swiggy Instamart,15:29.5,24,Dairy,147,Very satisfied with the service.,5,No,No
ORD000081,CUST4456,JioMart,13:29.5,39,Fruits & Vegetables,565,Very satisfied with the service.,5,No,No
ORD000082,CUST6155,Blinkit,45:29.5,36,Personal Care,1848,Good quality products.,4,No,No
ORD000083,CUST4483,Swiggy Instamart,31:29.5,47,Dairy,240,Packaging could be better.,3,Yes,No
ORD000084,CUST9179,Blinkit,32:29.5,10,Beverages,910,Very satisfied with the service.,5,No,No
ORD000085,CUST7482,Blinkit,19:29.5,33,Grocery,314,Packaging could be better.,3,No,No
ORD000086,CUST8517,Swiggy Instamart,50:29.5,23,Grocery,1332,"Very late delivery, not happy.",2,No,Yes
ORD000087,CUST3340,JioMart,38:29.5,51,Beverages,640,Wrong item delivered.,1,Yes,Yes
ORD000088,CUST5339,Blinkit,05:29.5,5,Beverages,465,"Horrible experience, never ordering again.",1,No,Yes
ORD000089,CUST3287,Swiggy Instamart,03:29.5,34,Personal Care,1690,"Fast delivery, great service!",5,No,No
ORD000090,CUST5040,Blinkit,40:29.5,35,Fruits & Vegetables,191,Items missing from order.,2,No,Yes
ORD000091,CUST9830,Blinkit,18:29.5,8,Personal Care,183,Very satisfied with the service.,5,No,No
ORD000092,CUST5304,Blinkit,03:29.5,35,Fruits & Vegetables,288,"Fast delivery, great service!",5,No,No
ORD000093,CUST8019,Blinkit,31:29.5,9,Grocery,645,Excellent experience!,5,No,No
ORD000094,CUST7543,JioMart,22:29.5,22,Grocery,280,"Fast delivery, great service!",5,No,No
ORD000095,CUST6930,Blinkit,38:29.5,34,Personal Care,703,Good quality products.,4,No,No
ORD000096,CUST4593,Blinkit,13:29.5,20,Grocery,378,Packaging could be better.,3,No,No
ORD000097,CUST3266,Blinkit,58:29.5,30,Fruits & Vegetables,306,Quick and reliable!,5,No,No
ORD000098,CUST9348,JioMart,31:29.5,29,Fruits & Vegetables,160,"Easy to order, loved it!",5,No,No
ORD000099,CUST9085,Blinkit,06:29.5,35,Beverages,364,"Not fresh, disappointed.",2,No,Yes
ORD000100,CUST2489,Blinkit,52:29.5,19,Fruits & Vegetables,427,Quick and reliable!,5,No,No
ORD000101,CUST1771,JioMart,42:29.5,39,Beverages,160,Very satisfied with the service.,5,No,No
ORD000102,CUST2796,JioMart,52:29.5,5,Personal Care,377,Items missing from order.,2,No,Yes
ORD000103,CUST3504,JioMart,00:29.5,45,Personal Care,634,Delivery person was rude.,2,Yes,Yes
ORD000104,CUST3621,Blinkit,53:29.5,27,Snacks,285,Excellent experience!,5,No,No
ORD000105,CUST7916,JioMart,11:29.5,28,Beverages,391,Items missing from order.,2,No,Yes
ORD000106,CUST2040,JioMart,34:29.5,33,Snacks,51,Delivery person was rude.,2,No,Yes
ORD000107,CUST7304,Blinkit,15:29.5,31,Fruits & Vegetables,367,Good quality products.,4,No,No
ORD000108,CUST7252,JioMart,51:29.5,29,Grocery,1015,Excellent experience!,5,No,No
ORD000109,CUST8668,Blinkit,33:29.5,42,Beverages,607,Packaging could be better.,3,Yes,No
ORD000110,CUST9669,Swiggy Instamart,27:29.5,14,Dairy,600,"Horrible experience, never ordering again.",1,No,Yes
ORD000111,CUST5119,JioMart,10:29.5,20,Personal Care,727,Delivery person was rude.,2,No,Yes
ORD000112,CUST1188,Swiggy Instamart,55:29.5,34,Beverages,624,"Very late delivery, not happy.",2,No,Yes
ORD000113,CUST2876,Blinkit,55:29.5,26,Fruits & Vegetables,252,Very satisfied with the service.,5,No,No
ORD000114,CUST9797,JioMart,19:29.5,42,Dairy,724,"Very late delivery, not happy.",2,Yes,Yes
ORD000115,CUST5371,Blinkit,04:29.5,52,Grocery,623,"Fast delivery, great service!",5,Yes,No
ORD000116,CUST6573,Swiggy Instamart,42:29.5,30,Beverages,859,Quick and reliable!,5,No,No
ORD000117,CUST2827,Blinkit,08:29.5,12,Dairy,599,"Fast delivery, great service!",5,No,No
ORD000118,CUST5808,JioMart,39:29.5,21,Beverages,502,Items missing from order.,2,No,Yes
ORD000119,CUST8123,JioMart,02:29.5,9,Personal Care,931,Items missing from order.,2,No,Yes
ORD000120,CUST3591,Swiggy Instamart,37:29.5,36,Dairy,198,"Fast delivery, great service!",5,No,No
ORD000121,CUST8433,Blinkit,48:29.5,20,Dairy,314,Packaging could be better.,3,No,No
ORD000122,CUST1053,JioMart,51:29.5,28,Dairy,509,"Very late delivery, not happy.",2,No,Yes
ORD000123,CUST5315,Swiggy Instamart,04:29.5,27,Dairy,436,Very satisfied with the service.,5,No,No
ORD000124,CUST9201,JioMart,54:29.5,41,Grocery,718,Very satisfied with the service.,5,Yes,No
ORD000125,CUST3927,JioMart,14:29.5,30,Snacks,418,Packaging could be better.,3,No,No
ORD000126,CUST9317,Blinkit,26:29.5,27,Snacks,312,"Very late delivery, not happy.",2,No,Yes
ORD000127,CUST2743,JioMart,01:29.5,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,No,No
ORD000128,CUST5889,Blinkit,41:29.5,36,Fruits & Vegetables,619,Items missing from order.,2,No,Yes
ORD000129,CUST9317,JioMart,43:29.5,18,Snacks,70,Excellent experience!,5,No,No
ORD000130,CUST4258,Swiggy Instamart,26:29.5,17,Fruits & Vegetables,596,Quick and reliable!,5,No,No
ORD000131,CUST3504,JioMart,07:29.5,24,Beverages,734,"Horrible experience, never ordering again.",1,No,Yes
ORD000132,CUST7126,Blinkit,14:29.5,50,Personal Care,1010,Packaging could be better.,3,Yes,No
ORD000133,CUST3646,Blinkit,06:29.5,29,Beverages,580,Very satisfied with the service.,5,No,No
ORD000134,CUST9837,Swiggy Instamart,24:29.5,29,Fruits & Vegetables,303,"Fast delivery, great service!",5,No,No
ORD000135,CUST9689,JioMart,07:29.5,33,Dairy,472,"Not fresh, disappointed.",2,No,Yes
ORD000136,CUST1009,JioMart,57:29.5,32,Beverages,987,"Fast delivery, great service!",5,No,No
ORD000137,CUST6310,Swiggy Instamart,30:29.5,27,Dairy,207,"Very late delivery, not happy.",2,No,Yes
ORD000138,CUST9005,JioMart,42:29.5,20,Beverages,548,Packaging could be better.,3,No,No
ORD000139,CUST1319,JioMart,02:29.5,25,Snacks,220,Delivery person was rude.,2,No,Yes
ORD000140,CUST2832,Blinkit,51:29.5,27,Fruits & Vegetables,209,"Very late delivery, not happy.",2,No,Yes
ORD000141,CUST6947,JioMart,20:29.5,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes
ORD000142,CUST6038,JioMart,21:29.5,27,Dairy,244,Good quality products.,4,No,No
ORD000143,CUST4923,Swiggy Instamart,27:29.5,31,Dairy,304,Excellent experience!,5,No,No
ORD000144,CUST1949,Swiggy Instamart,41:29.5,24,Beverages,899,Quick and reliable!,5,No,No
ORD000145,CUST4946,Blinkit,11:29.5,42,Personal Care,959,Delivery person was rude.,2,Yes,Yes
ORD000146,CUST2290,JioMart,01:29.5,32,Snacks,155,"Very late delivery, not happy.",2,No,Yes
ORD000147,CUST2403,JioMart,08:29.5,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,No,Yes
ORD000148,CUST8962,JioMart,13:29.5,25,Grocery,330,Delivery person was rude.,2,No,Yes
ORD000149,CUST2133,Blinkit,15:29.5,42,Fruits & Vegetables,617,Excellent experience!,5,Yes,No
ORD000150,CUST9727,Blinkit,11:29.5,23,Dairy,403,"Not fresh, disappointed.",2,No,Yes
ORD000151,CUST3060,Swiggy Instamart,30:29.5,21,Beverages,106,Excellent experience!,5,No,No
ORD000152,CUST3103,Blinkit,25:29.5,21,Personal Care,1929,Packaging could be better.,3,No,No
ORD000153,CUST8787,JioMart,25:29.5,30,Dairy,610,Quick and reliable!,5,No,No
ORD000154,CUST3705,JioMart,56:29.5,32,Personal Care,696,"Very late delivery, not happy.",2,No,Yes
ORD000155,CUST5342,Blinkit,56:29.5,36,Snacks,354,Quick and reliable!,5,No,No
ORD000156,CUST9645,JioMart,11:29.5,22,Grocery,583,Good quality products.,4,No,No
ORD000157,CUST7932,JioMart,25:29.5,45,Dairy,486,"Easy to order, loved it!",5,Yes,No
ORD000158,CUST4470,Blinkit,52:29.5,35,Personal Care,731,"Horrible experience, never ordering again.",1,No,Yes
ORD000159,CUST9835,Blinkit,07:29.5,25,Beverages,683,Excellent experience!,5,No,No
ORD000160,CUST4295,JioMart,25:29.5,38,Grocery,1450,Wrong item delivered.,1,No,Yes
ORD000161,CUST6107,JioMart,57:29.5,49,Grocery,379,Quick and reliable!,5,Yes,No
ORD000162,CUST7537,JioMart,06:29.5,34,Dairy,786,"Horrible experience, never ordering again.",1,No,Yes
ORD000163,CUST7118,Swiggy Instamart,17:29.5,47,Dairy,412,"Very late delivery, not happy.",2,Yes,Yes
ORD000164,CUST8177,Swiggy Instamart,28:29.5,19,Snacks,468,Very satisfied with the service.,5,No,No
ORD000165,CUST9479,Swiggy Instamart,54:29.5,10,Snacks,422,Quick and reliable!,5,No,No
ORD000166,CUST8397,Blinkit,50:29.5,35,Beverages,863,Quick and reliable!,5,No,No
ORD000167,CUST2982,Swiggy Instamart,07:29.5,41,Snacks,145,Very satisfied with the service.,5,Yes,No
ORD000168,CUST5061,Blinkit,31:29.5,16,Personal Care,1490,"Easy to order, loved it!",5,No,No
ORD000169,CUST4681,Blinkit,07:29.5,42,Personal Care,1291,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000170,CUST2049,Swiggy Instamart,36:29.5,25,Dairy,599,"Easy to order, loved it!",5,No,No
ORD000171,CUST6539,Swiggy Instamart,25:29.5,36,Personal Care,476,Delivery person was rude.,2,No,Yes
ORD000172,CUST1344,Swiggy Instamart,36:29.5,32,Beverages,613,Good quality products.,4,No,No
ORD000173,CUST4770,JioMart,43:29.5,34,Dairy,121,Wrong item delivered.,1,No,Yes
ORD000174,CUST4608,Swiggy Instamart,51:29.5,35,Personal Care,178,Delivery person was rude.,2,No,Yes
ORD000175,CUST1117,JioMart,11:29.5,29,Beverages,310,"Easy to order, loved it!",5,No,No
ORD000176,CUST2163,Blinkit,14:29.5,25,Personal Care,1727,Excellent experience!,5,No,No
ORD000177,CUST1964,JioMart,17:29.5,33,Grocery,457,Items missing from order.,2,No,Yes
ORD000178,CUST4750,Swiggy Instamart,30:29.5,27,Dairy,581,Excellent experience!,5,No,No
ORD000179,CUST2104,Blinkit,07:29.5,23,Dairy,307,"Very late delivery, not happy.",2,No,Yes
ORD000180,CUST1514,Blinkit,59:29.5,33,Grocery,1425,Wrong item delivered.,1,No,Yes
ORD000181,CUST6413,Blinkit,00:29.5,24,Personal Care,1553,Quick and reliable!,5,No,No
ORD000182,CUST2160,JioMart,41:29.5,28,Personal Care,752,"Easy to order, loved it!",5,No,No
ORD000183,CUST9423,Swiggy Instamart,24:29.5,24,Fruits & Vegetables,675,"Easy to order, loved it!",5,No,No
ORD000184,CUST4899,Blinkit,31:29.5,45,Fruits & Vegetables,239,"Fast delivery, great service!",5,Yes,No
ORD000185,CUST5562,Blinkit,11:29.5,31,Grocery,788,Very satisfied with the service.,5,No,No
ORD000186,CUST8953,Blinkit,54:29.5,14,Fruits & Vegetables,112,"Easy to order, loved it!",5,No,No
ORD000187,CUST4510,JioMart,57:29.5,42,Fruits & Vegetables,283,Quick and reliable!,5,Yes,No
ORD000188,CUST9834,JioMart,59:29.5,11,Snacks,244,Very satisfied with the service.,5,No,No
ORD000189,CUST3167,Swiggy Instamart,06:29.5,51,Fruits & Vegetables,68,"Not fresh, disappointed.",2,Yes,Yes
ORD000190,CUST8744,JioMart,25:29.5,30,Personal Care,1304,Excellent experience!,5,No,No
ORD000191,CUST4981,Blinkit,58:29.5,23,Personal Care,662,Very satisfied with the service.,5,No,No
ORD000192,CUST8749,Swiggy Instamart,28:29.5,26,Snacks,290,"Not fresh, disappointed.",2,No,Yes
ORD000193,CUST7669,Blinkit,04:29.5,14,Fruits & Vegetables,195,"Very late delivery, not happy.",2,No,Yes
ORD000194,CUST4119,Blinkit,15:29.5,28,Personal Care,1017,Packaging could be better.,3,No,No
ORD000195,CUST2545,JioMart,13:29.5,25,Snacks,418,Quick and reliable!,5,No,No
ORD000196,CUST2588,Swiggy Instamart,31:29.5,29,Grocery,800,Items missing from order.,2,No,Yes
ORD000197,CUST8062,JioMart,57:29.5,38,Snacks,435,"Horrible experience, never ordering again.",1,No,Yes
ORD000198,CUST6804,JioMart,07:29.5,33,Fruits & Vegetables,408,Quick and reliable!,5,No,No
ORD000199,CUST7939,Swiggy Instamart,24:29.5,18,Personal Care,827,"Fast delivery, great service!",5,No,No
ORD000200,CUST7735,Blinkit,27:29.5,20,Beverages,786,Excellent experience!,5,No,No
ORD000201,CUST8651,Blinkit,48:29.5,32,Beverages,788,Quick and reliable!,5,No,No
ORD000202,CUST1887,Swiggy Instamart,23:29.5,34,Dairy,661,"Fast delivery, great service!",5,No,No
ORD000203,CUST2612,Blinkit,37:29.5,29,Beverages,492,Good quality products.,4,No,No
ORD000204,CUST1993,Swiggy Instamart,30:29.5,35,Fruits & Vegetables,245,Delivery person was rude.,2,No,Yes
ORD000205,CUST7596,Swiggy Instamart,45:29.5,31,Beverages,245,"Very late delivery, not happy.",2,No,Yes
ORD000206,CUST6559,JioMart,05:29.5,31,Personal Care,1634,"Horrible experience, never ordering again.",1,No,Yes
ORD000207,CUST2790,Swiggy Instamart,29:29.5,38,Beverages,174,Good quality products.,4,No,No
ORD000208,CUST5073,JioMart,36:29.5,49,Dairy,619,Items missing from order.,2,Yes,Yes
ORD000209,CUST4139,Blinkit,05:29.5,32,Fruits & Vegetables,499,Very satisfied with the service.,5,No,No
ORD000210,CUST4116,Blinkit,58:29.5,60,Beverages,936,Excellent experience!,5,Yes,No
ORD000211,CUST9786,Blinkit,45:29.5,31,Dairy,722,"Horrible experience, never ordering again.",1,No,Yes
ORD000212,CUST8350,Blinkit,52:29.5,31,Beverages,470,"Horrible experience, never ordering again.",1,No,Yes
ORD000213,CUST3296,JioMart,29:29.5,49,Grocery,316,"Fast delivery, great service!",5,Yes,No
ORD000214,CUST7912,Blinkit,15:29.5,28,Dairy,226,Delivery person was rude.,2,No,Yes
ORD000215,CUST4006,Swiggy Instamart,07:29.5,11,Grocery,585,Delivery person was rude.,2,No,Yes
ORD000216,CUST5563,Swiggy Instamart,31:29.5,19,Fruits & Vegetables,690,"Horrible experience, never ordering again.",1,No,Yes
ORD000217,CUST8579,Swiggy Instamart,37:29.5,39,Fruits & Vegetables,288,Wrong item delivered.,1,No,Yes
ORD000218,CUST5092,JioMart,37:29.5,34,Snacks,491,Wrong item delivered.,1,No,Yes
ORD000219,CUST2235,Blinkit,40:29.5,20,Beverages,576,"Very late delivery, not happy.",2,No,Yes
ORD000220,CUST8260,Blinkit,46:29.5,10,Grocery,608,"Fast delivery, great service!",5,No,No
ORD000221,CUST2604,Blinkit,24:29.5,26,Personal Care,413,Packaging could be better.,3,No,No
ORD000222,CUST1828,JioMart,44:29.5,41,Dairy,743,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000223,CUST9856,Swiggy Instamart,22:29.5,28,Dairy,560,"Easy to order, loved it!",5,No,No
ORD000224,CUST1241,Swiggy Instamart,49:29.5,26,Beverages,219,Quick and reliable!,5,No,No
ORD000225,CUST2528,Blinkit,36:29.5,19,Snacks,313,"Not fresh, disappointed.",2,No,Yes
ORD000226,CUST4872,Swiggy Instamart,29:29.5,26,Dairy,121,"Horrible experience, never ordering again.",1,No,Yes
ORD000227,CUST3724,Swiggy Instamart,22:29.5,35,Snacks,76,"Easy to order, loved it!",5,No,No
ORD000228,CUST7658,JioMart,29:29.5,28,Personal Care,274,Very satisfied with the service.,5,No,No
ORD000229,CUST8956,JioMart,58:29.5,28,Dairy,322,"Very late delivery, not happy.",2,No,Yes
ORD000230,CUST8886,JioMart,39:29.5,41,Dairy,256,Excellent experience!,5,Yes,No
ORD000231,CUST4502,JioMart,03:29.5,22,Personal Care,1384,"Fast delivery, great service!",5,No,No
ORD000232,CUST7570,Blinkit,45:29.5,34,Beverages,396,Good quality products.,4,No,No
ORD000233,CUST1960,JioMart,44:29.5,28,Grocery,1059,"Very late delivery, not happy.",2,No,Yes
ORD000234,CUST3697,Swiggy Instamart,39:29.5,46,Dairy,408,Very satisfied with the service.,5,Yes,No
ORD000235,CUST7209,Blinkit,24:29.5,38,Snacks,391,Items missing from order.,2,No,Yes
ORD000236,CUST1035,Swiggy Instamart,37:29.5,43,Grocery,897,"Easy to order, loved it!",5,Yes,No
ORD000237,CUST7396,Swiggy Instamart,22:29.5,36,Dairy,187,"Horrible experience, never ordering again.",1,No,Yes
ORD000238,CUST5345,Swiggy Instamart,00:29.5,25,Fruits & Vegetables,83,"Very late delivery, not happy.",2,No,Yes
ORD000239,CUST8454,JioMart,21:29.5,44,Beverages,943,Excellent experience!,5,Yes,No
ORD000240,CUST5673,JioMart,03:29.5,33,Dairy,412,Delivery person was rude.,2,No,Yes
ORD000241,CUST7930,Blinkit,41:29.5,32,Beverages,332,Very satisfied with the service.,5,No,No
ORD000242,CUST8973,Blinkit,42:29.5,22,Grocery,1219,Quick and reliable!,5,No,No
ORD000243,CUST3536,JioMart,08:29.5,37,Beverages,581,Packaging could be better.,3,No,No
ORD000244,CUST4111,Swiggy Instamart,03:29.5,25,Fruits & Vegetables,85,"Not fresh, disappointed.",2,No,Yes
ORD000245,CUST5861,Blinkit,09:29.5,24,Snacks,426,Very satisfied with the service.,5,No,No
ORD000246,CUST4566,JioMart,54:29.5,32,Snacks,90,Packaging could be better.,3,No,No
ORD000247,CUST1958,JioMart,47:29.5,23,Snacks,443,"Very late delivery, not happy.",2,No,Yes
ORD000248,CUST9883,JioMart,09:29.5,22,Grocery,431,"Fast delivery, great service!",5,No,No
ORD000249,CUST1998,Swiggy Instamart,44:29.5,20,Fruits & Vegetables,496,Very satisfied with the service.,5,No,No
ORD000250,CUST6138,JioMart,23:29.5,40,Personal Care,1178,Quick and reliable!,5,No,No
ORD000251,CUST1936,JioMart,51:29.5,44,Personal Care,1639,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000252,CUST1821,JioMart,46:29.5,49,Grocery,664,"Very late delivery, not happy.",2,Yes,Yes
ORD000253,CUST8811,JioMart,27:29.5,39,Dairy,352,"Easy to order, loved it!",5,No,No
ORD000254,CUST9238,Blinkit,20:29.5,6,Beverages,404,Good quality products.,4,No,No
ORD000255,CUST9701,Blinkit,49:29.5,33,Grocery,1471,"Very late delivery, not happy.",2,No,Yes
ORD000256,CUST3579,JioMart,14:29.5,27,Dairy,738,"Horrible experience, never ordering again.",1,No,Yes
ORD000257,CUST1931,Swiggy Instamart,13:29.5,53,Dairy,626,"Easy to order, loved it!",5,Yes,No
ORD000258,CUST9320,Blinkit,28:29.5,33,Dairy,627,Quick and reliable!,5,No,No
ORD000259,CUST2312,JioMart,34:29.5,21,Fruits & Vegetables,72,"Very late delivery, not happy.",2,No,Yes
ORD000260,CUST4044,Blinkit,08:29.5,22,Fruits & Vegetables,402,Quick and reliable!,5,No,No
